flanker_type,flanker_congruencity,distraction_congruencity
left,congruent,neutral
left,incongruent,neutral
left,congruent,neutral
left,incongruent,neutral
left,congruent,neutral
left,incongruent,neutral
left,congruent,neutral
left,incongruent,neutral
right,congruent,neutral
right,incongruent,neutral
right,congruent,neutral
right,incongruent,neutral
right,congruent,neutral
right,incongruent,neutral
right,congruent,neutral
right,incongruent,neutral
